Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_34_217,VPWR,li1,106.2600,106.0800,1.798056
FILLER_34_188,VPWR,li1,93.8400,106.0800,1.798140
FILLER_34_175,VPWR,li1,86.9400,106.0800,1.798210
FILLER_34_141,VPWR,li1,70.6100,106.0800,1.798419
FILLER_34_130,VPWR,li1,65.5500,106.0800,1.798486
FILLER_34_126,VPWR,li1,64.4000,106.0800,1.798517
FILLER_34_101,VPWR,li1,52.2100,106.0800,1.798738
FILLER_34_97,VPWR,li1,51.0600,106.0800,1.798796
FILLER_34_85,VPWR,li1,47.3800,106.0800,1.798860
FILLER_34_82,VPWR,li1,43.7000,106.0800,1.798954
FILLER_34_72,VPWR,li1,38.8700,106.0800,1.799123
FILLER_34_66,VPWR,li1,37.2600,106.0800,1.799123
FILLER_34_43,VPWR,li1,25.5300,106.0800,1.799531
FILLER_34_37,VPWR,li1,23.9200,106.0800,1.799531
FILLER_34_19,VPWR,li1,14.4900,106.0800,1.799635
FILLER_34_15,VPWR,li1,13.3400,106.0800,1.799635
FILLER_34_3,VPWR,li1,9.6600,106.0800,1.799635
FILLER_33_301,VPWR,li1,144.2100,100.6400,1.799277
FILLER_33_293,VPWR,li1,140.7600,100.6400,1.799277
FILLER_33_281,VPWR,li1,137.5400,100.6400,1.799278
FILLER_33_278,VPWR,li1,133.8600,100.6400,1.799281
FILLER_33_271,VPWR,li1,130.8700,100.6400,1.799285
FILLER_33_259,VPWR,li1,127.4200,100.6400,1.799287
FILLER_33_237,VPWR,li1,115.0000,100.6400,1.799306
FILLER_33_225,VPWR,li1,111.7800,100.6400,1.799313
FILLER_33_221,VPWR,li1,107.8700,100.6400,1.799321
FILLER_33_209,VPWR,li1,104.4200,100.6400,1.799330
FILLER_33_197,VPWR,li1,98.9000,100.6400,1.799347
FILLER_33_187,VPWR,li1,91.7700,100.6400,1.799366
FILLER_33_181,VPWR,li1,90.1600,100.6400,1.799376
FILLER_33_169,VPWR,li1,86.0200,100.6400,1.799388
FILLER_33_167,VPWR,li1,82.5700,100.6400,1.799402
FILLER_33_155,VPWR,li1,79.5800,100.6400,1.799417
FILLER_33_129,VPWR,li1,65.3200,100.6400,1.799482
FILLER_33_104,VPWR,li1,53.5900,100.6400,1.799550
FILLER_33_93,VPWR,li1,48.9900,100.6400,1.799585
FILLER_33_85,VPWR,li1,46.4600,100.6400,1.799608
